,text,searchTerm,disease,processed_text
10,Serum microRNA profiles in athyroid patients on and off levothyroxine therapy. https://t.co/gFHJzHSJs7,Levothyroxine,Cancer,"['serum', 'athyroid', 'therapi']"
11,"RT @handmade_dorset: And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedâ€¦",Levothyroxine,Cancer,"['home', 'adventur', 'thyroid', 'gratitud']"
12,Levothyroxine And Ringing In The Ears https://t.co/rJSR0WNdkL,Levothyroxine,Cancer,['ring']
13,"LUGOL'S SOLUTION and levothyroxine are now on WHO's List of Essential Medicines, 20th Edition (March 2017) - Levothyroxine is the main ingredient in the #1 selling prescription drug SynthroidÂ®) https://t.co/OFP8jQHLEO https://t.co/iUSpfgepCh",Levothyroxine,Cancer,"['solut', 'list', 'essenti', 'th', 'edit', 'march', 'main', 'ingredi', 'sell', 'prescript', 'drug']"
14,"@beaglebets I am thinking that these are due to my thyroid deciding to go rogue, going to the doctor for that tomorrow.

If they don't clear up after a bit on levothyroxine, I've got 3 months of headache diaries to take to a specialist. Let's hope! Than",Levothyroxine,Cancer,"['think', 'due', 'thyroid', 'go', 'rogu', 'go', 'doctor', 'tomorrow', 'dont', 'clear', 'bit', 'got', 'headach', 'take', 'specialist', 'hope']"
15,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
16,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
17,Levothyroxine Made By Sandoz - Strange Smell https://t.co/M5yl3sqNi1,Levothyroxine,Cancer,"['made', 'strang', 'smell']"
18,#Endocrine - none as blind as those that won't see. https://t.co/X8L2nJwIDH,Levothyroxine,Cancer,"['endocrin', 'none', 'blind', 'wont', 'see']"
19,clearly ainâ€™t hypothyroidism if changing your diet fixes it. i have it + turn into a zombie by 3pm if i donâ€™t take my levothyroxine when i first get up <f0><U+009F><U+00A7><U+009F><U+200D><U+2640><U+FE0F>,Levothyroxine,Cancer,"['clearli', 'aint', 'hypothyroid', 'diet', 'turn', 'zombi', 'dont', 'take', 'first', 'get']"
20,@iamkihek @proseccokitty Both but mainly it'd the fact they (the NHS) don't want to pay for Liothyronine instead of Levothyroxine as the pharmaceutical company is charging the NHS 300 pounds a pack..,Levothyroxine,Cancer,"['mainli', 'fact', 'dont', 'want', 'pay', 'instead', 'pharmaceut', 'compani', 'charg', 'pack']"
21,On #levothyroxine and still don't feel well? #underactivethyroid https://t.co/HaYo4FQGRr https://t.co/BiDFJ0Ep7I,Levothyroxine,Cancer,"['still', 'dont', 'feel', 'well']"
22,Treating  borderline low thyroid levels can increase the risk for death.Â  https://t.co/qm42CQegW0 https://t.co/S71ukAptur,Levothyroxine,Cancer,"['treat', 'borderlin', 'low', 'thyroid', 'increas', 'risk', 'death']"
23,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
24,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
25,Hypothyroidism can be well treated with manufactured levothyroxine; the dose is adjusted according to symptoms and thyroxine/tsh levels.,Levothyroxine,Cancer,"['hypothyroid', 'well', 'dose', 'accord']"
26,Oral iron salts reduce absorption of other drugs - such as bisphosphonates an #levothyroxine Oral iron salts reduce absorption of other drugs - such as bisphosphonates and levothyroxine Oral iron salts duce absorption of other drugs - such as bisphosphonates and ... .. ... .. ...,Levothyroxine,Cancer,"['oral', 'iron', 'reduc', 'absorpt', 'oral', 'iron', 'reduc', 'absorpt', 'oral', 'iron', 'absorpt']"
27,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
28,@MightyDredd @Azeem_Majeed I'm supplied 56 days Levothyroxine and 42 days Liothyronine for hypothyroidism. Doesn't make sense to me.,Levothyroxine,Cancer,"['day', 'day', 'hypothyroid', 'doesnt', 'make', 'sens']"
29,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
30,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
31,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
32,"Soooo I should have been taking the levothyroxine for my thyroid like, 2 weeks ago, and even though Sofiane told me she'd called he failed to tell me that... Thanks mate!!!!!!!",Levothyroxine,Cancer,"['take', 'thyroid', 'like', 'ago', 'even', 'though', 'told', 'shed', 'tell', 'thank', 'mate']"
33,RT @MothLyssa: @EveEnreve @KhadyMany @agnesbuzyn #Levothyrox crisis in France: one year after Merck's disastrous launch of a new formula ofâ€¦,Levothyroxine,Cancer,"['crisi', 'one', 'year', 'disastr', 'launch', 'new', 'formula']"
34,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUloCH2,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
35,@TaylorHelga Ive always been prescribed levothyroxine for underactive thyroid.  I still struggle with my weight. And always tired <f0><U+009F><U+0098><U+00A2> xx,Levothyroxine,Cancer,"['alway', 'thyroid', 'still', 'struggl', 'weight', 'alway', 'tire']"
36,Taking Levothyroxine Every Other Day https://t.co/6lzbTI0xVb,Levothyroxine,Cancer,"['take', 'everi', 'day']"
37,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
38,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
39,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
40,Levothyroxine therapy may increase risk for death in older adults https://t.co/iW4kV4O6xB,Levothyroxine,Cancer,"['therapi', 'may', 'increas', 'risk', 'death', 'older']"
41,"Safety of orally administered, USP-compliant #levothyroxine sodium tablets in #dogs | #ECM https://t.co/vBYRXPjSIb",Levothyroxine,Cancer,"['safeti', 'oral', 'sodium', 'dog']"
42,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
43,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
44,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
45,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
46,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
47,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
48,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
49,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
50,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
51,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
52,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
53,"Following my recent blood test, got an email from my GP saying I would benefit from a slightly higher daily dose of levothyroxine. Thought the tablets were too small, they are like pinheads!",Levothyroxine,Cancer,"['follow', 'recent', 'blood', 'test', 'got', 'say', 'would', 'benefit', 'slightli', 'higher', 'daili', 'dose', 'thought', 'small', 'like']"
54,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
55,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
56,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
57,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
58,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
59,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
60,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
61,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
62,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
63,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
64,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
65,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
66,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
67,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
68,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
69,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
70,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
71,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
72,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
73,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
74,"@DreddByDawn Hey, synthroid buddy! (Well, levothyroxine, I've got the generic, but.)",Levothyroxine,Cancer,"['hey', 'buddi', 'well', 'got', 'gener']"
75,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
76,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
77,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
78,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
79,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
80,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
81,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
82,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
83,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
84,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
85,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
86,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
87,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
88,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
89,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
90,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
91,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
92,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
93,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Levothyroxine,Cancer,"['iron', 'decreas', 'absorpt', 'ace']"
94,"@VadaCallisto I knew there was a reason I love you, Levothyroxine, bitches! 75MCG!",Levothyroxine,Cancer,"['knew', 'reason', 'love']"
95,RT @julesserkin: @elainesmithmsp @pamela0106 @LordPhilofBrum @LabourLordsUK @UKHouseofLords Having T3 (after 20 long years feeling awful onâ€¦,Levothyroxine,Cancer,"['long', 'feel', 'aw']"
96,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
97,"The implicit ""OMG you're addicted"" message here cheeses me off because hey, assholes: drug addiction is ALSO a medical condition, and my body is also dependent upon levothyroxine, albeit in different bodily systems, so shut the hell up. https://t.co/7aJyYW2eIE",Levothyroxine,Cancer,"['implicit', 'addict', 'messag', 'hey', 'drug', 'addict', 'also', 'medic', 'condit', 'bodi', 'also', 'depend', 'upon', 'albeit', 'differ', 'bodili', 'shut', 'hell']"
98,#Hypothyroidism can be well treated with manufactured levothyroxine; the dose is adjusted according to symptoms and #thyroxine/#tshlevels.,Levothyroxine,Cancer,"['hypothyroid', 'well', 'dose', 'accord']"
99,No Benefit of Levothyroxine Among Pregnant Hypothyroid and/or Hypothyroxinemic Women on Offspring IQ at Age 9 years (Clinical Thyroidology) https://t.co/BMJgvVb1m6,Levothyroxine,Cancer,"['benefit', 'among', 'pregnant', 'hypothyroid', 'offspr', 'age', 'clinic']"
100,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
101,"@C_GraceT I also couldn't stop taking my levothyroxine without experiencing ill effects, when's the NYT going to start wringing their hands about our society's regrettable dependence on synthetic thyroid hormone, huh?",Levothyroxine,Cancer,"['also', 'stop', 'take', 'without', 'ill', 'effect', 'go', 'start', 'regrett', 'depend', 'synthet', 'thyroid', 'hormon', 'huh']"
102,@drmoonpants that's pretty amazing. Is it adrenaline about the move or about leaving the job or levothyroxine finally doing more or some combination?,Levothyroxine,Cancer,"['that', 'pretti', 'amaz', 'adrenalin', 'move', 'leav', 'job', 'final', 'combin']"
103,would you get call someone with hypothyroidism dependent on their levothyroxine because they have to take it every day to regulate their thyroid and not suffer the mental and physical symptoms?,Levothyroxine,Cancer,"['would', 'get', 'call', 'someon', 'hypothyroid', 'depend', 'take', 'everi', 'day', 'regul', 'thyroid', 'suffer', 'mental', 'physic']"
104,"Hey NYT, Maybe next you could write a concern trolling piece about how concerning it is that I've got a long-term prescription for levothyroxine or about refilling my albuterol prescription every year for the last two decades. https://t.co/67RmVcwxfI",Levothyroxine,Cancer,"['hey', 'mayb', 'next', 'could', 'write', 'concern', 'troll', 'piec', 'concern', 'got', 'prescript', 'prescript', 'everi', 'year', 'last', 'two']"
105,"Well, thatâ€™s a stiff dose of levothyroxine. <f0><U+009F><U+00A4><U+00AD>
#TeamNightShift https://t.co/10BfBJ60dI",Levothyroxine,Cancer,"['well', 'that', 'stiff', 'dose']"
106,"@chemDrK When I was a pharmacist, many drug names changed overnight. Bendrofluazide became bendroflumethiazide, thyroxine became levothyroxine etc etc. Very confusing for all concerned.",Levothyroxine,Cancer,"['pharmacist', 'mani', 'drug', 'overnight', 'thyroxin', 'concern']"
107,"And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedorset #grateful #lifegoals #mystory #wellbeing #adventure #levothyroxine #thyroidectomy #Dorsetteam https://t.co/d8n9GedlPU",Levothyroxine,Cancer,"['home', 'adventur', 'thyroid', 'gratitud', 'grate', 'adventur', 'thyroidectomi']"
108,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
109,"Treating some elderly people with #levothyroxine may put them at increased risk of death, says new research. #SubclinicalHpothyroidism https://t.co/U5LjPB5DFv via @TheEndoSociety",Levothyroxine,Cancer,"['treat', 'elderli', 'peopl', 'may', 'put', 'risk', 'death', 'new', 'research', 'via']"
110,"@kittykaya Nonono, he's sometimes up UNTIL 2-3am. I actually just thought of that it might be insomnia in relation to his levothyroxine. His doc changed his dosage a few months back and said the levels all looked great at the one-month blood test, but I'm",Levothyroxine,Cancer,"['sometim', 'actual', 'thought', 'might', 'insomnia', 'relat', 'doc', 'dosag', 'back', 'said', 'great', 'blood', 'test']"
111,"@bunnieandbea See, Scott sleeps in so late no matter when he goes to bed, and he's SO hard to wake up. Is that a side effect of hypothyroidism maybe? Or his levothyroxine? I just thought about that. :O I should ask his doctor at the next appt.",Levothyroxine,Cancer,"['see', 'late', 'matter', 'goe', 'bed', 'hard', 'wake', 'side', 'effect', 'hypothyroid', 'mayb', 'thought', 'ask', 'doctor', 'next']"
112,@Cimbrella Itâ€™s not pleasant. I was having sweats. Iâ€™m on levothyroxine for life now. Itâ€™s sorted it out nicely xx,Levothyroxine,Cancer,"['pleasant', 'life', 'sort', 'nice']"
113,"My thyroid hormones are so confused that my doctor has me on 50mcg #Levothyroxine, 6000mg Vitamin D-3, and now Ortho Tri-Cyclen all to help manage my Hypothyroid and #Hypovitaminosis D, and other hormone issues. I hope it helps! #spoonie #Spoonies #hashimotos https://t.co/w1kQ2azPPR",Levothyroxine,Cancer,"['thyroid', 'confus', 'doctor', 'vitamin', 'ortho', 'help', 'manag', 'hypothyroid', 'hypovitaminosi', 'hormon', 'hope']"
114,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
115,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
